Date,Member,Task,Man-Hour,Output,Problem,Next Action
2026-06-23,M3,Set up project repo structure — configs, docs, per-member instruction guides,2.0,config/classes.yaml + 4x memberN_data.yaml + docs/project_plan.md,missing_barricade is absence-detection (hard problem),Redefine as barricade presence class; document in report
2026-06-23,M3,Scaffolded Flask backend (app.py + pipeline.py) with /health /recommend /infer,2.0,backend/ with graceful 503 until models exist; /health + /recommend verified,/infer blocked until trained weights exist,Train YOLO models
2026-06-23,M3,Scaffolded Flutter mobile app (camera → /infer → overlay),1.5,mobile_app/lib/ (7 Dart files),flutter create . not run yet (needs Flutter SDK),Run flutter create . to generate Android/iOS platform folders
2026-06-23,M3,Set up GPU training environment; verified CUDA + smoke test,1.5,torch 2.6.0+cu124 + ultralytics 8.4.75 on RTX 3050; smoke-test training confirmed GPU,SSL inspection (CRYPT_E_NO_REVOCATION_CHECK) blocks ultralytics auto-download,Use curl --ssl-no-revoke helper (download_weights.py) for all weight fetches
2026-06-24,M3,Downloaded 4 online datasets (manhole/obstacle/wires/branches); converted COCO→YOLO; handled polygon labels,3.0,data/member3/ with 2956 images + 5899 boxes across 5 classes,wires-gklgc was COCO not YOLO; obstacle dataset had polygon labels mixed in,Created coco_to_yolo.py converter + polygon→bbox fallback in prepare_dataset.py
2026-06-24,M3,Initial member3 YOLO training (yolov8n 100 epochs),1.0,mAP50=0.57; dangling_wire mAP50=0.282 (only 27 wire images),dangling_wire severely underrepresented,Add wires2 dataset and retrain
2026-06-24,M3,Added wires2 dataset (1419 wire images after remap); retrained member3,2.0,mAP50=0.675; models/member3.pt (6 MB),Training process hung once (background task killed); relaunched via D:\mlenv,Evaluate per-class metrics; hand off training notebook to M1/M2/M4
2026-06-24,M3,Added member4 architecture (5 overlap classes; feature vector 57→70 dims),1.5,config/classes.yaml + config/member4_data.yaml + docs/instructions_member4.md; feature_dim=70 verified,All 5 M4 classes need own photos (no public datasets except fallen_branch),M4 to collect 80+ images/class; M3 waits for all 4 .pt files before meta-classifier
2026-06-24,M3,Ran member3 validation — per-class mAP50 recorded,0.5,"uncovered_manhole=0.987, dangling_wire=0.473, obstacle_on_walkway=0.534, fallen_branch=0.685; all=0.670",dangling_wire still weakest (0.473) — needs more data or augmentation,Consider targeted augmentation for dangling_wire; document in report §9
2026-06-27,M3,Retrained member3 with yolov8s (larger model) — 100 epochs,1.5,"mAP50=0.702 (best epoch 87); models/member3.pt updated (22 MB)",yolov8s restarts epoch counter when resumed from checkpoint (no --resume flag passed),Use last.pt with resume=True flag if retraining again
2026-06-27,M3,Received and integrated .pt files from M2 and M4; verified class mappings,0.5,"models/member2.pt (84 MB pothole/dangling_wire/broken_bench/panel/socket) + models/member4.pt (6 MB Branch/Bench/shelter/socket/drainage) both load OK","member1 and member4 class-id order in config/classes.yaml did not match trained model .names (Roboflow alphabetised on export)","Fixed config/classes.yaml local id order for member1 + member4; all 20 local→global mappings verified correct"
2026-06-27,M3,Built meta-classifier training dataset and trained meta-classifier,2.0,"features.npz: 969 samples dim=70 from 575 member3 val images; meta_classifier.pt val_acc=97.9% (80 epochs)","Dataset only covers 5/11 global classes (M2/M4 val data not yet available — demo-grade only)","Collect shared annotated validation set covering all 11 global classes; rebuild features.npz + retrain meta-classifier"
2026-06-27,M3,Redesigned Flutter app UI — Field Instrument HUD aesthetic,3.0,"mobile_app/lib/theme.dart + widgets/hud.dart + widgets/hazard_card.dart; detection_painter.dart + camera_screen.dart restyled; flutter build web verified exit 0","Google Fonts (Chakra Petch + JetBrains Mono) must be declared in pubspec.yaml before use",Wire GEMINI_API_KEY in backend for live LLM recommendations; end-to-end test on physical device
